TimeWindow  Iteration  ResRel(Displacements)  ResRel(Forces)  
    16       5   2.62543114e-05   3.32334029e+00  
    16       6   1.29090077e-05   1.36515708e+00  
    16       7   1.13419127e-06   2.43927472e-01  
    16       8   9.75935315e-06   3.74622380e-01  
    16       9   5.16074931e-06   2.65160898e-02  
    16      10   4.12316525e-06   1.04915963e-01  
    16      11   3.36135204e-06   3.69710909e-02  
    16      12   2.85485121e-07   1.26608232e-02  
    16      13   3.69258404e-08   1.89403491e-03  
    17       1   7.93084848e-02   4.20101533e-02  
    17       2   1.18157733e-04   1.31809007e-01  
    17       3   7.68166197e-05   1.21922709e+01  
    17       4   6.12010064e-05   9.63923044e+00  
    17       5   2.36376768e-05   4.96462325e+00  
    17       6   2.02364153e-05   3.44944716e+00  
    17       7   1.89645259e-05   1.00192542e+00  
    17       8   3.30187193e-06   5.30686792e-01  
    17       9   3.62585544e-06   2.93604386e-01  
    17      10   9.30924284e-07   1.06372434e-02  
    17      11   6.40103173e-07   6.70826495e-02  
    17      12   2.76502962e-07   4.48289493e-02  
    17      13   5.30830604e-08   9.47560265e-03  
    18       1   6.98262132e-02   5.32912812e-02  
    18       2   1.77854182e-04   7.07836319e-01  
    18       3   1.29655951e-04   7.92439168e+00  
    18       4   5.64437720e-05   1.43236975e+00  
    18       5   9.18309875e-06   1.09512610e+00  
    18       6   7.49448291e-06   7.54771235e-01  
    18       7   6.09919720e-06   1.14462580e+00  
    18       8   3.63759123e-05   1.05556491e+00  
    18       9   2.22980199e-05   1.05522570e+00  
    18      10   2.90070964e-06   1.51480927e-01  
    18      11   1.17008425e-06   9.14644933e-02  
    18      12   3.22496646e-07   1.15866331e-01  
    18      13   7.24373469e-07   3.65930367e-02  
    18      14   4.73669088e-07   9.81675086e-03  
    19       1   6.38617812e-02   7.37382578e-02  
    19       2   1.88121388e-04   2.01974549e+00  
    19       3   3.45215895e-04   6.14373554e+00  
    19       4   1.02779508e-04   3.14367884e+00  
    19       5   5.18288182e-05   3.42626480e+00  
    19       6   2.73589857e-05   1.46098762e+00  
    19       7   1.83873446e-05   1.13361061e+00  
    19       8   3.75161965e-05   9.03402356e-01  
    19       9   7.08377567e-06   1.52605003e+00  
    19      10   3.49980216e-06   6.87263303e-01  
    19      11   3.19499801e-07   2.06665926e-01  
    19      12   1.05202815e-06   5.41413123e-02  
    19      13   1.84856034e-07   7.01758073e-03  
    20       1   6.48235471e-02   1.21472007e-01  
    20       2   6.55442486e-04   1.38052379e+00  
    20       3   1.17612441e-04   7.23013813e+00  
    20       4   8.51189596e-05   2.62490504e+01  
    20       5   8.61489429e-05   1.70951792e+00  
    20       6   2.23591932e-05   2.56183374e+00  
    20       7   5.62454603e-06   4.42420269e-01  
    20       8   1.47051027e-06   7.60780181e-02  
    20       9   2.05480084e-06   5.78454161e-02  
    20      10   1.43822763e-06   1.87567778e-02  
    20      11   1.76658352e-07   1.58215994e-02  
    20      12   1.60313658e-07   9.89650996e-03  
    21       1   6.88105987e-02   1.11186942e-01  
    21       2   1.34929078e-04   1.57570483e+00  
    21       3   2.48619580e-04   2.75448922e+01  
    21       4   2.00761090e-04   3.29054645e+00  
    21       5   9.13577392e-05   7.46911421e+00  
    21       6   7.18741554e-05   5.86340952e+00  
    21       7   2.18617370e-05   1.16141206e+00  
    21       8   1.54423638e-06   9.79148575e-01  
    21       9   4.04020467e-06   6.01682512e-01  
    21      10   4.86311821e-07   4.26504058e-01  
    21      11   1.38661611e-06   6.67909396e-02  
    21      12   9.53498750e-07   4.36070915e-02  
    21      13   7.25317829e-08   1.73308062e-02  
    21      14   2.80753120e-08   5.46285767e-03  
    22       1   7.28452745e-02   1.17546246e-01  
    22       2   1.16265748e-04   2.45018687e+00  
    22       3   2.94884787e-04   1.91675212e+00  
    22       4   9.62867653e-05   1.68135947e+01  
    22       5   4.07484592e-05   1.59558919e+00  
    22       6   3.00039174e-05   3.44387482e+00  
    22       7   4.56217216e-05   5.14268574e+00  
    22       8   5.78117388e-06   1.72728621e-01  
    22       9   2.01122306e-06   4.51811944e-01  
    22      10   7.57600182e-07   3.60205964e-01  
    22      11   1.53713895e-06   9.67754455e-02  
    22      12   3.56069027e-07   4.41032378e-02  
    22      13   1.52097662e-07   2.01943818e-02  
    22      14   6.38850045e-08   6.38183513e-03  
    23       1   7.30628953e-02   1.58939110e-01  
    23       2   6.82839621e-05   1.73501758e+00  
    23       3   5.92873662e-05   1.86287971e+00  
    23       4   2.75972537e-05   5.00477707e+00  
    23       5   9.99100630e-06   3.32047775e+00  
    23       6   9.33628264e-06   2.47569003e+00  
    23       7   3.51672313e-06   1.40443203e+00  
    23       8   3.07711227e-06   1.81865751e+00  
    23       9   7.42561080e-07   1.56124744e-01  
    23      10   5.97514573e-07   3.64240303e-01  
    23      11   1.64762522e-07   2.97407312e-01  
    23      12   1.49394444e-07   1.90742469e-01  
    23      13   1.63808283e-07   1.66158226e-01  
    23      14   1.84109006e-08   6.66147859e-02  
    23      15   2.26707025e-08   5.04922772e-03  
    24       1   6.64747119e-02   2.63250213e-01  
    24       2   3.74483217e-05   7.36187905e-01  
    24       3   6.81185912e-05   4.81914944e+00  
    24       4   9.17573601e-05   3.30361559e+00  
    24       5   3.75370995e-05   8.73509878e+00  
    24       6   4.26970507e-06   1.85384493e+00  
    24       7   4.77474417e-06   2.83993317e+00  
